AOU,English_Common_Name,ConsolAOU,ProblemTaxa
7330,Oak Titmouse,7332,TRUE
7420,Wrentit,7420,FALSE
3970,Nuttall's Woodpecker,3970,FALSE
3990,White-headed Woodpecker,3990,FALSE
5000,Tricolored Blackbird,5000,FALSE
7332,unid. Oak Titmouse / Juniper Titmouse,7332,TRUE
5310,Lawrence's Goldfinch,5310,FALSE
4335,unid. Rufous Hummingbird / Allen's Hummingbird,4335,TRUE
4760,Yellow-billed Magpie,4760,FALSE
7100,California Thrasher,7100,FALSE
5739,Bell's Sparrow,5740,TRUE
4810,unid. California Scrub-Jay / Woodhouse's Scrub-Jay,4810,TRUE
3151,Spotted Dove,3151,FALSE
3152,African Collared-Dove (a.k.a. Ringed Turtle-Dove),3152,FALSE
3095,Indian Peafowl,3095,FALSE
3827,unid. White-winged / Yellow-chevroned Parakeet,3827,TRUE
51830,Nanday Parakeet,51830,FALSE
7530,California Gnatcatcher,7530,FALSE
4811,Island Scrub-Jay,4811,FALSE
8110,Scaly-breasted Munia,8110,FALSE
19510,Pin-tailed Whydah,19510,FALSE
7315,unid. Tufted Titmouse / Black-crested Titmouse,7315,TRUE
3050,Greater Prairie-Chicken,3050,FALSE
3089,Gunnison Sage-Grouse,3089,FALSE
3070,Lesser Prairie-Chicken,3070,FALSE
5871,unid. Spotted Towhee / Eastern Towhee,5871,TRUE
3040,White-tailed Ptarmigan,3040,FALSE
6420,Golden-winged Warbler,6420,FALSE
6540,Black-throated Blue Warbler,6540,FALSE
6620,Blackburnian Warbler,6620,FALSE
3875,unid. Yellow-billed Cuckoo / Black-billed Cuckoo,3875,TRUE
5490,Saltmarsh Sparrow,5490,FALSE
5470,Henslow's Sparrow,5470,FALSE
3824,Monk Parakeet,3824,FALSE
4790,Florida Scrub-Jay,4790,FALSE
3830,Smooth-billed Ani,3830,FALSE
5032,Spot-breasted Oriole,5032,FALSE
6230,Black-whiskered Vireo,6230,FALSE
3140,White-crowned Pigeon,3140,FALSE
3860,Mangrove Cuckoo,3860,FALSE
7031,Bahama Mockingbird,7031,FALSE
4932,Common Myna,4932,FALSE
3826,Red-crowned Parrot,3826,FALSE
3822,Budgerigar,3822,FALSE
52021,Yellow-chevroned Parakeet,3827,TRUE
6296,unid. Plumbeous Vireo / Cassin's Vireo,6296,TRUE
5680,(Pink-sided Junco) Dark-eyed Junco,5680,FALSE
5212,Unid. Cassia Crossbill / Red Crossbill,5212,TRUE
6883,Eurasian Tree Sparrow,6883,FALSE
7352,unid. Carolina Chickadee / Black-capped Chickadee,7352,TRUE
5135,unid. Boat-tailed Grackle / Great-tailed Grackle,5135,TRUE
6122,unid. Cave Swallow / Cliff Swallow,6122,TRUE
6121,Cave Swallow,6122,TRUE
4955,unid. Bronzed Cowbird / Brown-headed Cowbird,4955,TRUE
4490,Great Kiskadee,4490,FALSE
7571,Bicknell's Thrush,7571,FALSE
5530,Harris's Sparrow,5530,FALSE
6700,Kirtland's Warbler,6700,FALSE
5660,(White-winged Junco) Dark-eyed Junco,5660,FALSE
4100,Golden-fronted Woodpecker,4100,FALSE
6300,Black-capped Vireo,6300,FALSE
4295,unid. Ruby-throated / Black-chinned Hummingbird,4295,TRUE
7320,Black-crested Titmouse,7315,TRUE
6685,unid. Townsend's Warbler / Hermit Warbler,6685,TRUE
5860,Olive Sparrow,5860,FALSE
7060,Long-billed Thrasher,7060,FALSE
4461,Couch's Kingbird,4462,TRUE
3110,Plain Chachalaca,3110,FALSE
